picture,year,longitude,latitude,building,source
2087.jpg,1754,30.32° E,59.93° N,Hermitage Museum,Gemini
2088.jpg,1100,-8.7° W,42.88° N,Cathedral of Santiago de Compostela,Gemini
2089.jpg,1733,30.31° E,59.94° N,"Smolny Cathedral, Saint Petersburg, Russia.",Gemini
2090.jpg,1953,37.59° E,55.75° N,Moscow State University Main Building,Gemini
2091.jpg,1819,27.55° E,59.43° N,Tartu University Main Building,Gemini
2092.jpg,1754,30.3048° E,59.9386° N,"The Winter Palace in Saint Petersburg, Russia. ",Gemini
2093.jpg,1607,2.1452° E,48.9565° N,Château de Fontainebleau ,Gemini
2094.jpg,1561,37.6200° E,55.7539° N,Saint Basil's Cathedral,Gemini
2095.jpg,1780,30.3200° E,59.9433° N,Peter and Paul Fortress Cathedral,Gemini
2096.jpg,1680,37.62° E,55.75° N,Church of the Nativity of the Virgin,Gemini
2097.jpg,1778,37.63° E,55.78° N,Church of the Sign,Gemini
2098.jpg,1701,37.62° E,55.75° N,Church of the Resurrection of Christ on the Patriarch's Ponds,Gemini
2099.jpg,1748,30.36° E,59.96° N,"Catherine Palace, Tsarskoye Selo",Gemini
2100.jpg,1748,30.3304° E,59.9343° N,The Winter Palace,Gemini
2101.jpg,1748,30.32° E,59.94° N,"Catherine Palace, Tsarskoye Selo",Gemini
2102.jpg,1907,30.3257° E,59.9388° N,Church of the Savior on Blood  ,Gemini
2103.jpg,1716,16.37° E,48.21° N,"Karlskirche, Vienna, Austria",Gemini
2104.jpg,1680,37.62° E,55.75° N,"Kazan Cathedral, Moscow ",Gemini
2105.jpg,1750,30.31° E,59.93° N,The Hermitage Museum  ,Gemini
2106.jpg,1694,38.23° E,55.82° N,Assumption Cathedral of Suzdal,Gemini
2107.jpg,1788,56.00° E,55.00° N, Church of St. Catherine. ,Gemini
2108.jpg,1200,-8.89° W,42.88° N,Santiago de Compostela Cathedral,Gemini
2109.jpg,1800,17.17° E,48.22° N,Two traditional houses in Hungary,Gemini
2110.jpg,1755,30.31° E,59.93° N,Hall of Mirrors in the Hermitage Museum. ,Gemini
2111.jpg,1733,30.31° E,59.94° N,Smolny Cathedral,Gemini
2112.jpg,1745,30.31° E,59.93° N,Catherine Palace,Gemini
2113.jpg,1736,24.1207° E,59.4283° N,Kadriorg Palace and Gardens. ,Gemini
2114.jpg,1899,30.33° E,59.93° N,The Grand Palace of Peterhof,Gemini
2115.jpg,1485,37.6200° E,55.7532° N,Church of the Deposition of the Robe ,Gemini
2116.jpg,1754,30.3067° E,59.9391° N,Hermitage Museum,Gemini
2117.jpg,1915,-87.629° W,41.878° N, Saint Sava Serbian Orthodox Church. ,Gemini
2118.jpg,1780,29.94° E,59.68° N,The Gothic Gate in the Catherine Park,Gemini
2119.jpg,1694,37.95° E,55.76° N,Church of the Intercession of the Virgin on the Nerl,Gemini
2120.jpg,1900,37.62° E,55.78° N,"Terem Palace, Moscow",Gemini
2121.jpg,1907,30.315° E,59.939° N,Church of the Savior on Spilled Blood,Gemini
2122.jpg,1744,30.3157° E,59.9680° N, Smolny Cathedral in Saint Petersburg ,Gemini
2123.jpg,1037,30.52° E,50.45° N,"Saint Sophia Cathedral, Kyiv",Gemini
2124.jpg,1770,30.31° E,59.93° N,The Palace Bridge and the  Stroganov Palace ,Gemini
2125.jpg,1760,37.587° E,55.755° N,Church of the Sign,Gemini
2126.jpg,1710,30.31° E,59.94° N, The Smolny Convent and Cathedral,Gemini
2127.jpg,1561,37.62° E,55.75° N,Saint Basil's Cathedral,Gemini
2128.jpg,1700,37.64° E,55.79° N,Church of the Epiphany,Gemini
2129.jpg,1782,30.31° E,59.94° N,Saint Nicholas Naval Cathedral,Gemini
2130.jpg,1748,30.364° E,59.944° N,"Catherine's Palace, Hermitage Pavilion",Gemini
2131.jpg,1801,30.3073° E,59.9386° N,St. Isaac's Cathedral,Gemini
2132.jpg,1762,30.33° E,59.96° N,Church of the Sign,Gemini
2133.jpg,1750,24.15° E,54.68° N,Church of St. John the Baptist,Gemini
2134.jpg,1740,30.31° E,59.96° N,Smolny Cathedral in Saint Petersburg,Gemini
2135.jpg,1561,37.6200° E,55.7532° N,Saint Basil's Cathedral,Gemini
2136.jpg,1694,39.75° E,60.93° N,Church of the Transfiguration on Kizhi Island,Gemini
2137.jpg,1770,30.31° E,59.93° N,The Stroganov Palace ,Gemini
2138.jpg,1561,37.62000° E,55.75321° N,Saint Basil's Cathedral,Gemini
2139.jpg,1070,10.75° E,48.40° N,Zwiefalten Abbey Church ,Gemini
2140.jpg,1754,30.3086° E,59.9386° N,The Hermitage Museum,Gemini
2141.jpg,1738,30.31° E,59.93° N,Kunstkamera Building,Gemini
2142.jpg,1720,30.31° E,59.93° N,"The Church of the Nativity of the Virgin Mary in the Nikolo-Peshnoshsky Monastery, Russia.",Gemini
2143.jpg,1754,30.3069° E,59.9389° N,The Hermitage Museum ,Gemini
2144.jpg,1754,30.3068° E,59.9388° N,The Hermitage Museum,Gemini
2145.jpg,1900,77.57° E,28.61° N, Interior of a grand house.,Gemini
2146.jpg,1780,30.20° E,59.94° N,The  Catherine Palace in Tsarskoye Selo,Gemini
2147.jpg,1800,30.51° E,47.23° N,Golden doors of a Russian Orthodox church.,Gemini
2148.jpg,1561,37.62° E,55.75° N,Saint Basil's Cathedral,Gemini
2149.jpg,1800,30.3157° E,59.9484° N,St. Nicholas Naval Cathedral,Gemini
2150.jpg,1754,30.3085° E,59.9388° N,Hermitage Museum and Alexander Column,Gemini
2151.jpg,1710,30.32° E,59.93° N,The Summer Palace in St. Petersburg. ,Gemini
2152.jpg,1754,30.3086° E,59.9391° N,Hermitage Museum Grand Staircase,Gemini
2153.jpg,1889,30.53° E,50.45° N,St. Michael's Golden-Domed Monastery,Gemini
2154.jpg,1744,30.5217° E,50.4545° N,Bell tower of Kyiv Pechersk Lavra,Gemini
2155.jpg,18th,24.6480° E,56.9500° N,Church in old town,Gemini
2156.jpg,1839,30.3157° E,59.9343° N,Church of the Savior on Spilled Blood,Gemini
2157.jpg,1754,30.31° E,59.93° N,Hermitage Museum ,Gemini
2158.jpg,1952,37.62° E,55.75° N,"Mayakovskaya metro station, Moscow.",Gemini
2159.jpg,1685,37.62° E,55.75° N,"Church of the Nativity of the Virgin,  Novodevichy Convent. ",Gemini
2160.jpg,1722,17.15° E,49.62° N,Basilica of the Virgin Mary  ,Gemini
2161.jpg,1754,30.3067° E,59.9388° N,"Winter Palace, Saint Petersburg, Russia",Gemini
2162.jpg,1754,30.3086° E,59.9386° N,The Winter Palace Staircase ,Gemini
2163.jpg,1907,30.3158° E,59.9387° N,Church of the Savior on Spilled Blood,Gemini
2164.jpg,1788,9.13° W,38.71° N,The National Pantheon of Portugal,Gemini
2165.jpg,1700,43.99° E,55.79° N,Trinity Cathedral in Vologda,Gemini
2166.jpg,1800,30.52° E,50.45° N,Church in the old city of Kyiv,Gemini
2167.jpg,1754,30.3069° E,59.9386° N,The Hermitage Museum,Gemini
2168.jpg,1800,30.3064° E,59.9483° N,Saint Petersburg's blue cathedral,Gemini
2169.jpg,1555,37.62000 ° E,55.75000 ° N,Red Square in Moscow,Gemini
2170.jpg,1719,40.30° W,-19.92° S,Church of Our Lady of the Pillar ,Gemini
2171.jpg,1561,37.62° E,55.75° N,Saint Basil's Cathedral,Gemini
2172.jpg,1602,14.2680° E,40.8508° N,Church of Sant'Agnese in Agone,Gemini
2173.jpg,1698,37.62° E,55.75° N,Church of the Sign ,Gemini
2174.jpg,1638,12.4837° E,41.8963° N,Church of Sant'Agnese in Agone,Gemini
2175.jpg,1760,37.58° E,55.97° N,Church of the Sign,Gemini
2176.jpg,1739,37.63° E,55.75° N,Church of the Sign in Dubrovitsy ,Gemini
2177.jpg,1733,11.9042° E,47.9744° N,Wieskirche Church  ,Gemini
2178.jpg,1744,30.27° E,59.92° N,Catherine Palace ,Gemini
2179.jpg,1700,38.95° E,56.61° N,Church of the Intercession of the Virgin on the Nerl ,Gemini
2180.jpg,1754,30.3091° E,59.9388° N,Hermitage Museum and Palace Square,Gemini
2181.jpg,1733,30.3074° E,59.9397° N, The Smolny Convent  ,Gemini
2182.jpg,1881,37.62000° E,55.75222° N,"State Historical Museum, Moscow",Gemini
2183.jpg,1748,30.24° E,59.93° N,Catherine Palace,Gemini
2184.jpg,1762,30.31° E,59.94° N,Church of the Savior on Spilled Blood,Gemini
2185.jpg,1779,44.02° E,56.00° N,Church of the Nativity of the Virgin ,Gemini
2186.jpg,1710,30.31° E,59.94° N,"The Grand Cascade, Peterhof Palace. ",Gemini
2187.jpg,1561,37.6200° E,55.7532° N,Saint Basil's Cathedral,Gemini
2188.jpg,1897,41.99° E,55.05° N,Church of the Holy Trinity ,Gemini
2189.jpg,2009,0.00° E,0.00° N,Pink Mansion with Balcony and Columns. ,Gemini
2190.jpg,1785,30.54° E,50.44° N,Church of the Nativity,Gemini
2191.jpg,1685,30.37° E,59.95° N, Novodevichy Convent ,Gemini
2192.jpg,1800,43.21° E,55.79° N,Church of the Nativity of the Virgin ,Gemini
2193.jpg,1745,30.3496° E,59.9293° N,Catherine Palace,Gemini
2194.jpg,1748,30.3157° E,59.9377° N,The Winter Palace,Gemini
2195.jpg,1740,30.3168° E,59.9449° N,"Smolny Cathedral, Saint Petersburg, Russia",Gemini
2196.jpg,1770,11.59° E,48.16° N,The Marstall (The Stable Building),Gemini
2197.jpg,1780,30.31° E,59.94° N,Church of the Sign,Gemini
2198.jpg,1700,37.62° E,55.75° N,Russian Orthodox Church,Gemini
2199.jpg,1754,30.3067° E,59.9387° N,Hermitage Museum,Gemini
2200.jpg,1682,38.03° E,55.76° N,Novodevichy Convent  ,Gemini
2201.jpg,1754,30.3086° E,59.9387° N,The Hermitage Museum,Gemini
2202.jpg,1744,30.35° E,59.97° N,The Hermitage Pavilion,Gemini
2203.jpg,1737,37.62° E,55.75° N,Church of the Nativity of the Virgin in Putinki  ,Gemini
2204.jpg,1710,30.32° E,59.93° N,Catherine Palace in Tsarskoye Selo,Gemini
2205.jpg,1720,30.31° E,59.93° N,"Catherine Palace, Tsarskoye Selo",Gemini
2206.jpg,1770,30.3067° E,59.9491° N,The building on Moika 83 ,Gemini
2207.jpg,1713,37.6230° E,55.7558° N,Church of the Sign  ,Gemini
2208.jpg,1754,30.31° E,59.93° N,Hermitage Museum Building,Gemini
2209.jpg,1907,30.3230° E,59.9400° N,Church of the Savior on Spilled Blood,Gemini
2210.jpg,1748,30.332° E,59.955° N,Catherine Palace,Gemini
2211.jpg,1733,30.3159° E,59.9490° N, The Smolny Cathedral  ,Gemini
2212.jpg,1649,37.62° E,55.75° N,Church of the Intercession of the Virgin ,Gemini
2213.jpg,1827,24.11° E,56.95° N,The University of Tartu building.,Gemini
2214.jpg,1692,40.0000° E,56.0000° N,Church of the Intercession of the Holy Virgin on the Nerl,Gemini
2215.jpg,1754,30.3064° E,59.9388° N,The Hermitage Museum,Gemini
2216.jpg,1775,37.6300° E,55.7500° N,Church of the Sign,Gemini
2217.jpg,1720,30.31° E,59.95° N,The Hermitage Pavilion ,Gemini
2218.jpg,1744,30.25° E,59.93° N,Catherine Palace,Gemini
2219.jpg,1804,34.72° E,48.64° N,"Church of the Nativity of Christ in Poltava, Ukraine.",Gemini
2220.jpg,1746,30.3229° E,59.9351° N,Catherine Palace,Gemini
2221.jpg,1745,27.03° E,59.37° N,Kadriorg Palace,Gemini
2222.jpg,1648,4°22.92° E,52.37° N,The Royal Palace of Amsterdam,Gemini
2223.jpg,1733,16.36° E,48.20° N,The Abbey Church of Melk,Gemini
2224.jpg,1747,30.5259° E,50.4547° N,Saint Michael's Golden-Domed Monastery. ,Gemini
2225.jpg,1801,30.517° E,46.480° N,Saint Catherine's Monastery,Gemini
2226.jpg,1656,12.4827° E,41.9028° N,Church of Sant'Agnese in Agone,Gemini
2227.jpg,1758,50.70° E,56.10° N,White Church of the Nativity,Gemini
2228.jpg,1561,37.6200° E,55.7532° N,Saint Basil's Cathedral,Gemini
2229.jpg,1700,34.77° E,47.23° N,"Holy Trinity Cathedral,  Rostov-on-Don",Gemini
2230.jpg,1754,30.3075° E,59.9386° N,Hermitage Museum,Gemini
2231.jpg,1424,12.33° E,45.43° N,Ca' d'Oro Palace,Gemini
2232.jpg,1546,0.18° E,46.97° N,Château de Chambord ,Gemini
2233.jpg,1682,15.0722° E,37.5064° N,Basilica of Santa Maria Assunta ,Gemini
2234.jpg,1600,14.55° E,37.32° N,Baroque style building in Italy,Gemini
2235.jpg,1693,14.5144° E,37.5058° N,"Cathedral of St. Agatha, Catania, Sicily ",Gemini
2236.jpg,1600,15°09' E,38°11' N,"Palazzo Biscari, Catania, Sicily",Gemini
2237.jpg,1638,13.56° E,37.77° N,Church of Santa Maria dell'Ammiraglio ,Gemini
2238.jpg,1230,15.0872° E,38.1189° N,Cathedral of Catania,Gemini
2239.jpg,1601,13.3661° E,38.1182° N,Basilica of Santa Lucia ,Gemini
2240.jpg,1600,15.08° E,37.31° N,"Street in Sicily, Italy",Gemini
2241.jpg,1633,15.0872° E,38.1167° N,"Cathedral of Catania, Sicily",Gemini
2242.jpg,1638,15.09° E,37.50° N,Basilica of Santa Lucia ,Gemini
2243.jpg,1620,13.364° E,38.119° N,Palazzo Reale ,Gemini
2244.jpg,1693,15.08° E,37.31° N,"Cathedral of Syracuse, Sicily",Gemini
2245.jpg,1600,14.56° E,38.12° N,"Palazzo Biscari, Sicily, Italy",Gemini
2246.jpg,1675,0.100° W,51.513° N,St. Paul's Cathedral,Gemini
2247.jpg,1680,15.08° E,37.15° N,The Church of San Giorgio,Gemini
2248.jpg,1633,15.07° E,38.11° N,Palermo Cathedral,Gemini
2249.jpg,1700,15.08° E,37.51° N,"Church in Sicily, Italy. ",Gemini
2250.jpg,1693,14.54° E,37.31° N,Cathedral of Syracuse,Gemini
2251.jpg,1693,15.08° E,37.51° N,Cathedral of Syracuse,Gemini
2252.jpg,1693,15.08° E,38.12° N,Catania Cathedral,Gemini
2253.jpg,1689,14.5030° E,35.9375° N,"Church interior, baroque style",Gemini
2254.jpg,1640,14.25° E,40.84° N,Church of San Domenico Maggiore,Gemini
2255.jpg,1693,15.0874° E,37.3193° N,"Cathedral of Syracuse, Sicily. ",Gemini
2256.jpg,1693,15.0872° E,37.3167° N,Cathedral of St. George ,Gemini
2257.jpg,1640,15.08° E,38.12° N,"Church in Catania, Sicily",Gemini
2258.jpg,1693,15.0872° E,37.3178° N,Cathedral of Syracuse,Gemini
2259.jpg,1230,15.0741° E,38.1165° N,"Cathedral of Catania, Sicily, Italy. ",Gemini
2260.jpg,1753,15.09° E,37.50° N,Arch of Syracuse ,Gemini
2261.jpg,1601,14.82° E,37.81° N,Church of Santa Maria dell'Itria ,Gemini
2262.jpg,1693,15.0733° E,37.3181° N,Cathedral of Noto,Gemini
2263.jpg,1630,15.0872° E,37.5071° N,Palazzo Beneventano del Bosco,Gemini
2264.jpg,1624,15.07° E,37.31° N,Church of Saint Joseph,Gemini
2265.jpg,1693,14.46° E,37.51° N,Cathedral of Saint Nicholas of Bari,Gemini
2266.jpg,1688,2.349° E,48.854° N, Church of Saint-Germain-l'Auxerrois,Gemini
2267.jpg,1743,12.4834° E,41.8996° N,Basilica di Superga ,Gemini
2268.jpg,1600,14.10° E,37.30° N,Sicilian architecture buildings,Gemini
2269.jpg,1693,14.06° E,37.15° N,Noto Cathedral,Gemini
2270.jpg,1788,9.13° W,38.71° N,National Pantheon of Portugal ,Gemini
2271.jpg,1875,12.4833° E,41.8933° N, The Teatro Argentina in Rome,Gemini
2272.jpg,1693,15.07° E,37.31° N,Cathedral of Syracuse  ,Gemini
2273.jpg,1629,15.07° E,37.31° N,Church of Saint Mary of the Assumption ,Gemini
2274.jpg,1693,14.51° E,36.08° N,"The Palazzo del Governo, Noto, Sicily, Italy",Gemini
2275.jpg,1693,14.54° E,37.31° N,"Cathedral of San Giorgio, Modica ",Gemini
2276.jpg,1624,13.60° E,37.77° N," Church of St. Francis of Assisi, Ragusa Ibla",Gemini
2277.jpg,1693,15.0872° E,37.3167° N,Cathedral of Saint Agatha ,Gemini
2278.jpg,1640,14.54° E,37.51° N,"Baroque Church in Noto, Italy.",Gemini
2279.jpg,1693,14.65° E,37.32° N,Church of San Giorgio in Ragusa Ibla,Gemini
2280.jpg,1670,14.55° E,40.82° N,Baroque church in Lecce,Gemini
2281.jpg,1903,2.96° E,50.63° N,Lille Grand Place Building,Gemini
2282.jpg,1580,12.3362° E,45.4396° N,Scuola Grande di San Rocco,Gemini
2283.jpg,1620,12.3383° E,45.4350° N,Basilica di San Giorgio Maggiore,Gemini
2284.jpg,1787,124.02° E,11.04° N,Old Spanish Walls of Paoay,Gemini
2285.jpg,1799,124.0983° E,11.0604° N,The Church of San Agustin,Gemini
2286.jpg,1606,12.34° E,45.43° N,Basilica di Santa Maria della Salute,Gemini
2287.jpg,1682,90.52° W,14.62° N,"Church of San Francisco, Antigua, Guatemala",Gemini
2288.jpg,1640,15.08° E,37.50° N,"Palazzo dei Normanni, Palermo",Gemini
2289.jpg,1799,124.12° E,11.86° N,Paoay Church,Gemini
2290.jpg,1803,124.00° E,10.40° N,Vigan Cathedral,Gemini
2291.jpg,1771,123.88° E,11.02° N," Santa Monica Parish Church in Paoay, Ilocos Norte",Gemini
2292.jpg,1730,11.5805° E,48.0744° N,"The Blue Room in the  New Palace, Schleissheim ",Gemini
2293.jpg,1510,0.8° E,47.3° N,French castle with many windows,Gemini
2294.jpg,1662,12.4830° E,41.8980° N,Church of Sant'Agnese in Agone,Gemini
2295.jpg,1680,14.52° E,37.50° N,Cathedral of Saint George ,Gemini
2296.jpg,80,12.483° E,41.890° N,"Colosseum, Rome",Gemini
2297.jpg,1693,15.0858° E,37.3287° N,Cathedral of Syracuse facade,Gemini
2298.jpg,1693,14.54° E,37.31° N,Cathedral of Syracuse ,Gemini
2299.jpg,1700,17.95° E,40.83° N,Baroque style church in Italy,Gemini
2300.jpg,1629,15.08° E,37.12° N,Baroque Cathedral and Bell Tower,Gemini
2301.jpg,1600,15°12'12.4° E,37°53'18.2° N,Church of Santa Maria degli Angeli,Gemini
2302.jpg,1693,14.06° E,37.62° N,"Noto Cathedral, Sicily, Italy ",Gemini
2303.jpg,1693,14.54° E,37.80° N,Cathedral of Syracuse,Gemini
2304.jpg,1693,15.0833° E,37.3208° N,Noto Cathedral,Gemini
2305.jpg,1185,13° 30.7' ° E,38° 06.1' ° N,The Cathedral of Palermo,Gemini
2306.jpg,1682,14.57° E,37.31° N,Church of Saint Mary of the Assumption ,Gemini
2307.jpg,1693,14.54° E,37.31° N,Cathedral of Syracuse,Gemini
2308.jpg,1640,14.56° E,37.32° N,The Church of San Domenico ,Gemini
2309.jpg,1680,15.08° E,37.51° N,Church of Santa Maria dell'Itria ,Gemini
2310.jpg,1693,14.0683° E,37.7875° N,Cathedral of Agrigento,Gemini
2311.jpg,1900,14.5° E,35.9° N,Old Post Office and Telegraph Building,Gemini
2312.jpg,1633,15.08° E,37.50° N,Cathedral of Syracuse,Gemini
2313.jpg,1628,15.09° E,37.32° N,Church of Santa Maria dell'Ammiraglio ,Gemini
2314.jpg,1230,15.0872° E,38.1143° N,Catania Cathedral,Gemini
2315.jpg,1693,14.505° E,37.508° N,"Church of the Annunciation, Syracuse, Sicily, Italy. ",Gemini
2316.jpg,1693,15.07° E,37.31° N,"Cathedral of St. George, Modica",Gemini
2317.jpg,1733,11.07° E,48.14° N,Wieskirche - Pilgrimage Church,Gemini
2318.jpg,1604,15.0857° E,37.5022° N,"Basilica of the Holy Spirit, Palermo",Gemini
2319.jpg,1693,15.08° E,37.31° N,"Cathedral of Syracuse, Sicily",Gemini
2320.jpg,1624,13.3624° E,38.1193° N,Palazzo dei Normanni,Gemini
2321.jpg,1633,15.0872° E,37.5066° N,The Cathedral of Syracuse,Gemini
2322.jpg,1225,15.0872° E,37.5085° N,"Cathedral of Catania, Elephant Fountain",Gemini
2323.jpg,1629,15.09° E,37.07° N,Church of Saint Lucy ,Gemini
2324.jpg,1682,15.0872° E,37.5063° N,Church of San Cataldo,Gemini
2325.jpg,1680,14.55° E,37.51° N,Church of St. Anthony of Padua,Gemini
2326.jpg,1635,14.5439° E,37.5082° N,Baroque church facade in Syracuse,Gemini
2327.jpg,1623,15.09° E,43.61° N,"Church of San Giovanni Battista, Ragusa Ibla",Gemini
2328.jpg,1640,15.0723° E,37.5083° N,Church of San Matteo ,Gemini
2329.jpg,1732,15.0800° E,37.3100° N,Church of Saint Julian,Gemini
2330.jpg,1693,15.0872° E,37.5078° N,"Cathedral of Syracuse, Sicily",Gemini
2331.jpg,1185,13.3608° E,38.1187° N,Palermo Cathedral,Gemini
2332.jpg,1685,15.07° E,37.06° N,Church of San Giuseppe ,Gemini
2333.jpg,1693,15.0872° E,37.3174° N,Cathedral of Syracuse,Gemini
2334.jpg,1633,15.08° E,37.51° N,Duomo di Siracusa,Gemini
2335.jpg,1693,14.56° E,37.31° N,Cathedral of Noto and Piazza del Municipio  ,Gemini
2336.jpg,1693,15.0745° E,38.1165° N,"Cathedral of Syracuse, Sicily",Gemini
2337.jpg,1629,15.09° E,37.51° N,Palazzo dei Normanni,Gemini
2338.jpg,1693,15.0759° E,38.1159° N,Cathedral of Syracuse,Gemini
2339.jpg,1180,4.04° E,51.22° N,Gravensteen castle ,Gemini
2340.jpg,1693,15.08° E,37.06° N,Noto Cathedral,Gemini
2341.jpg,1693,15.08° E,37.31° N,Duomo di Noto ,Gemini
2342.jpg,1693,14.24° E,37.52° N,Noto Cathedral,Gemini
2343.jpg,1693,14.06° E,37.51° N,Noto Cathedral,Gemini
2344.jpg,1700,15.08° E,37.51° N,"Cathedral of Syracuse, Sicily",Gemini
2345.jpg,1693,15.08° E,37.31° N,Church of Santissima Annunziata dei Catalani,Gemini
2346.jpg,1693,14.57° E,37.31° N,Cathedral of Syracuse ,Gemini
2347.jpg,1693,15.0872° E,37.3092° N,"Cathedral of Syracuse, Sicily",Gemini
2348.jpg,1609,15.0737° E,38.1144° N,Fountain of Pretoria ,Gemini
2349.jpg,1693,14.53° E,37.80° N,"Church of St. Mary of the Assumption,  in Syracuse, Sicily",Gemini
2350.jpg,1185,13° 22.72° E,38° 06.29° N,Palermo Cathedral,Gemini
2351.jpg,1604,12.3339° E,45.4358° N,Basilica di San Giorgio Maggiore,Gemini
2352.jpg,1626,15.0872° E,37.5052° N,Church of St. Mary of the Assumption,Gemini
2353.jpg,1682,15.07° E,37.50° N,Church of Santa Maria dell'Elemosina,Gemini
2354.jpg,1633,15.0873° E,38.1183° N,"Church of Saint John the Baptist in Noto, Sicily. ",Gemini
2355.jpg,1634,12.482° E,41.895° N,Church of Sant'Agnese in Agone,Gemini
2356.jpg,1693,14.57° E,37.06° N,Cathedral of Noto,Gemini
2357.jpg,1693,14.53° E,37.51° N,"Church of Saint Mary of the Assumption, Syracuse, Sicily",Gemini
2358.jpg,1600,15.08° E,37.51° N,Baroque building in Sicily,Gemini
2359.jpg,1693,15.08° E,37.50° N,Cathedral of Saint Agatha,Gemini
2360.jpg,1693,15.086° E,37.060° N,Cathedral of Noto,Gemini
2361.jpg,1682,15.08° E,37.50° N,Church of Santa Maria Assunta,Gemini
2362.jpg,1693,15.0874° E,37.3118° N,"Cathedral of Noto, Baroque Church",Gemini
2363.jpg,1693,14.54° E,37.31° N,Cathedral of Syracuse,Gemini
2364.jpg,1693,15.0724° E,38.1157° N,Cathedral of Syracuse ,Gemini
2365.jpg,1230,15.0872° E,38.1158° N,Catania Cathedral,Gemini
2366.jpg,1633,15.08° E,37.50° N,Cathedral of Syracuse  ,Gemini
2367.jpg,1230,15.0872° E,38.1195° N,Catania Cathedral,Gemini
2368.jpg,1185,13.3614° E,38.1163° N,Palermo Cathedral,Gemini
2369.jpg,1693,14.55° E,37.31° N,Cathedral of Syracuse,Gemini
2370.jpg,1633,13.36° E,38.12° N,"Cathedral of Syracuse, Sicily",Gemini
2371.jpg,1928,-5.99° W,37.38° N,Plaza de Toros de la Maestranza  ,Gemini
2372.jpg,1424,12.3350° E,45.4375° N," Ca' d'Oro, Venice, Italy. ",Gemini
2373.jpg,1528,34.40° E,55.73° N,The Assumption Cathedral of the Ferapontov Monastery ,Gemini
2374.jpg,1528,0.35° E,47.38° N,Château de Chambord ,Gemini
2375.jpg,1824,30.36° E,59.95° N,The Holy Trinity Cathedral,Gemini
2376.jpg,1907,39.71° E,55.79° N,The Cathedral of the Nativity of the Theotokos,Gemini
2377.jpg,1805,43.95° E,57.05° N,"Transfiguration Cathedral, Kostroma, Russia.",Gemini
2378.jpg,1845,41.09° E,51.33° N,Church of the Resurrection of Christ in Shilovo,Gemini
2379.jpg,1896,30.23° E,50.44° N,Orthodox church in Lubny,Gemini
2380.jpg,1828,130.74° E,43.12° N,Vladivostok Cathedral,Gemini
2381.jpg,1519,0.33° E,47.31° N,Chateau de Chambord ,Gemini
2382.jpg,1901,36.23° E,49.98° N,Holy Dormition Cathedral in Kyiv,Gemini
2383.jpg,2008,101.2° E,53.1° N,"Holy Trinity Cathedral, Omsk",Gemini
2384.jpg,1900,40.00° E,43.20° N, Old Building  in Russia,Gemini
2385.jpg,1929,"5° 59' 46.8"" W","37° 23' 14.4"" N","Plaza de Espana, Seville, Spain",Gemini
2386.jpg,-550,52.97° E,30.28° N,The ruins of the Hall of Hundred Columns,Gemini
2387.jpg,-520,52.96° E,30.18° N,"Gate of All Nations, Persepolis",Gemini
2388.jpg,-550,52.52° E,32.65° N,"The Gate of All Nations, Persepolis",Gemini
2389.jpg,750,44.31° E,33.30° N,The Great Mosque of Ktesiphon ,Gemini
2390.jpg,-550,52.53° E,30.59° N,Tomb of Darius I  ,Gemini
2391.jpg,-550,50.20° E,32.10° N, Winged human-headed bull at Persepolis ,Gemini
2392.jpg,-550,51.42° E,32.65° N,Ruins of Persepolis,Gemini
2393.jpg,-550,52.53° E,32.63° N,Ruins of the Palace of Darius I ,Gemini
2394.jpg,-520,52.53° E,32.65° N,"Gate of All Nations, Persepolis",Gemini
2395.jpg,-550,52.96° E,31.64° N, Persepolis ruins,Gemini
2396.jpg,-550,52.97° E,30.16° N,Tomb of Darius I  ,Gemini
2397.jpg,-550,52.95° E,30.58° N,Tomb of Cyrus the Great,Gemini
2398.jpg,-520,52.53° E,31.53° N,The Gate of All Nations in Persepolis,Gemini
2399.jpg,-550,52.52° E,30.29° N,Gate of All Nations in Persepolis,Gemini
2400.jpg,-520,46.52° E,32.63° N,Tomb of Cyrus the Great,Gemini
2401.jpg,-530,50.43° E,32.14° N," Gate of All Nations, Persepolis, Iran",Gemini
2402.jpg,-550,47.00° E,35.00° N, Reliefs of Darius I at Naqsh-e Rustam  ,Gemini
2403.jpg,-550,51.67° E,32.65° N,Persepolis ruins ,Gemini
2404.jpg,-500,52.96° E,30.18° N, Persepolis staircase with bas-reliefs. ,Gemini
2405.jpg,-550,52.96° E,32.63° N,"The Gate of All Nations, Persepolis",Gemini
2406.jpg,-520,48.28° E,32.62° N," Apadana Palace, Persepolis ",Gemini
2407.jpg,-520,52.95° E,30.61° N, Gate of All Nations at Persepolis,Gemini
2408.jpg,-550,52.9646° E,30.1769° N,The Gate of All Nations at Persepolis,Gemini
2409.jpg,-500,52.52° E,32.65° N,Persepolis Reliefs,Gemini
2410.jpg,-550,50.55° E,32.65° N,"Persepolis, Iran. ",Gemini
2411.jpg,-550,52.54° E,32.66° N,Naqsh-e Rostam Tombs,Gemini
2412.jpg,-550,52.53° E,30.18° N,The Gate of All Nations ,Gemini
2413.jpg,-550,52.52° E,32.06° N, Persepolis gate statues,Gemini
2414.jpg,-550,52.54° E,32.63° N,Tomb of Darius I,Gemini
2415.jpg,-550,47.00° E,33.00° N,Ruins at Persepolis.,Gemini
